Geography,Geographic Area Name,POV_kids5years%,POV_Fem_NoSpouse%,AgeAbove65%,HealthIns65%,NoVeh%,Fem_NoSpouse%,AgeUnder5%,POV_Income12m%,Language_NoEnglish%,Disability%,RenterOccupied5+%,No_School%,NoComp_NoInt%,Pop_Den,UnemployedCiv%,MobileHome%,BlackPop%,RenterOccupied%,HispanicPOP%,Household_Size_avg
1500000US120860001071,Block Group 1; Census Tract 1.07; Miami-Dade County; Florida,0.00,0.00,28.54,1.24,5.94,24.83,2.85,5.59,0.00,31.27,8.42,0.00,0.00,3374.42,0.00,0.00,2.47,54.21,28.16,2.6
1500000US120860001072,Block Group 2; Census Tract 1.07; Miami-Dade County; Florida,0.00,10.43,14.90,0.00,9.78,27.01,1.80,16.59,4.41,4.31,0.00,5.00,16.25,12576.88,4.80,1.38,1.60,84.54,59.40,1.58
1500000US120860001073,Block Group 3; Census Tract 1.07; Miami-Dade County; Florida,0.00,12.68,32.74,0.00,34.07,22.54,0.00,15.96,0.00,9.51,1.28,1.56,14.29,4168.69,0.00,0.00,0.00,50.92,53.33,1.76
1500000US120860001091,Block Group 1; Census Tract 1.09; Miami-Dade County; Florida,0.00,0.00,7.69,0.00,5.63,14.71,0.00,2.35,8.20,31.15,0.00,0.00,44.37,3940.15,0.00,31.30,3.15,74.65,73.60,2.01
1500000US120860001092,Block Group 2; Census Tract 1.09; Miami-Dade County; Florida,0.00,0.00,10.87,2.53,9.31,4.54,6.10,20.62,6.16,20.74,4.97,1.81,14.29,245.25,1.24,0.00,5.06,71.17,57.99,2.63
1500000US120860001093,Block Group 3; Census Tract 1.09; Miami-Dade County; Florida,0.00,37.62,8.30,0.00,6.98,59.63,0.00,37.62,0.00,14.08,0.00,4.44,13.49,2632.98,0.00,0.00,12.93,82.33,64.67,2.41
1500000US120860001151,Block Group 1; Census Tract 1.15; Miami-Dade County; Florida,0.00,9.14,11.61,0.00,13.96,20.81,3.91,9.14,3.01,23.78,0.00,1.19,18.52,7808.16,7.94,0.00,4.27,74.36,43.37,2.4
1500000US120860001152,Block Group 2; Census Tract 1.15; Miami-Dade County; Florida,0.00,0.00,15.33,1.64,0.00,6.49,3.10,6.49,2.81,9.71,0.00,0.37,1.68,261.21,0.00,0.00,0.00,3.91,42.52,3.06
1500000US120860001153,Block Group 3; Census Tract 1.15; Miami-Dade County; Florida,0.00,0.00,30.05,2.78,10.65,0.00,0.00,0.00,4.15,20.42,0.00,0.00,19.91,2861.69,2.27,0.00,0.00,26.85,27.02,1.83
1500000US120860001181,Block Group 1; Census Tract 1.18; Miami-Dade County; Florida,0.00,0.00,35.27,0.83,10.77,7.28,2.65,1.96,0.00,20.63,0.00,1.66,6.10,2393.68,1.41,0.33,1.66,17.68,31.21,2.46
1500000US120860001201,Block Group 1; Census Tract 1.20; Miami-Dade County; Florida,0.00,0.00,12.63,0.00,14.08,10.59,13.37,2.35,1.98,9.11,0.00,0.67,8.37,501.99,0.59,0.00,1.86,16.53,31.72,2.75
1500000US120860001202,Block Group 2; Census Tract 1.20; Miami-Dade County; Florida,0.00,0.00,15.86,0.00,1.17,0.00,1.36,0.68,3.64,13.44,0.00,1.36,11.37,2214.30,3.22,0.00,0.93,10.03,64.21,1.97
1500000US120860001203,Block Group 3; Census Tract 1.20; Miami-Dade County; Florida,0.00,0.00,16.91,0.00,9.78,11.51,0.00,7.95,1.62,7.05,1.78,0.00,15.78,9642.69,9.03,0.00,12.30,36.78,66.00,1.83
1500000US120860001211,Block Group 1; Census Tract 1.21; Miami-Dade County; Florida,0.00,7.77,47.05,1.00,7.89,15.54,9.49,16.06,0.86,21.70,0.00,0.00,17.98,6672.69,2.30,0.00,3.98,20.66,28.39,2.06
1500000US120860001212,Block Group 2; Census Tract 1.21; Miami-Dade County; Florida,0.00,0.00,22.50,0.00,0.00,0.00,3.13,5.34,0.00,9.15,0.00,0.00,18.26,2846.06,2.71,0.00,6.46,50.87,49.38,2.09
1500000US120860001221,Block Group 1; Census Tract 1.22; Miami-Dade County; Florida,0.00,0.00,13.33,0.00,20.56,0.00,0.00,0.00,0.00,15.94,0.00,4.30,31.45,8217.29,0.00,0.00,0.00,31.05,55.27,1.88
1500000US120860001222,Block Group 2; Census Tract 1.22; Miami-Dade County; Florida,0.00,0.00,15.57,0.00,0.00,22.48,2.36,0.00,0.00,24.26,0.00,0.00,3.20,9501.27,0.00,0.00,2.45,26.55,61.13,2.43
1500000US120860001223,Block Group 3; Census Tract 1.22; Miami-Dade County; Florida,0.00,0.00,39.02,0.00,0.00,0.00,3.01,0.00,0.00,24.68,0.00,0.00,13.04,6331.33,0.00,0.00,0.00,21.74,30.24,2.04
1500000US120860001224,Block Group 4; Census Tract 1.22; Miami-Dade County; Florida,4.36,0.00,30.62,0.96,6.19,15.98,7.94,4.36,0.00,2.21,2.02,1.22,13.46,24404.73,0.00,0.00,1.28,31.90,55.35,2.1
1500000US120860001231,Block Group 1; Census Tract 1.23; Miami-Dade County; Florida,0.00,0.00,20.70,0.00,0.00,6.15,11.81,8.08,3.06,2.70,16.67,0.00,6.73,902.71,1.80,0.00,0.00,31.09,51.18,2.85
1500000US120860001232,Block Group 2; Census Tract 1.23; Miami-Dade County; Florida,0.00,0.00,30.45,0.00,0.00,5.24,0.00,11.35,0.00,15.08,0.00,0.00,8.70,1373.71,0.00,0.00,0.00,22.90,39.87,2.62
1500000US120860001233,Block Group 3; Census Tract 1.23; Miami-Dade County; Florida,0.00,0.00,38.71,0.00,7.71,3.70,5.30,7.64,2.09,30.34,0.00,2.61,23.86,23384.46,0.69,1.16,0.00,24.14,28.03,1.86
1500000US120860001234,Block Group 4; Census Tract 1.23; Miami-Dade County; Florida,0.00,0.00,34.25,0.00,2.45,14.55,4.13,0.00,2.41,7.65,6.13,3.98,2.45,3636.97,0.00,0.00,8.87,38.48,72.17,1.6
1500000US120860001235,Block Group 5; Census Tract 1.23; Miami-Dade County; Florida,0.00,0.00,23.93,0.00,4.92,26.28,0.00,0.00,0.00,52.50,0.00,0.00,5.46,4004.88,0.00,0.00,0.00,67.21,33.90,1.92
1500000US120860001241,Block Group 1; Census Tract 1.24; Miami-Dade County; Florida,0.00,0.00,12.07,1.24,20.71,11.43,2.41,0.00,1.03,1.48,11.99,1.89,28.34,3323.84,3.85,0.00,47.49,94.82,27.85,2.35
1500000US120860001242,Block Group 2; Census Tract 1.24; Miami-Dade County; Florida,0.00,2.97,17.21,0.00,11.51,36.76,4.39,6.62,10.29,27.81,4.65,1.36,33.26,9229.68,4.95,0.00,36.28,60.93,52.47,2.09
